act-avg,sat-avg,enrollment,acceptance-rate,rankingDisplayScore,percent-receiving-aid,cost-after-aid,tuition,displayName,overallRank,institutionalControl
32,1400,5400,7,100,60,16793,47140,Princeton University,1,private
32,1430,6710,5,98,55,16338,48949,Harvard University,2,private
32,1450,5941,8,96,42,27767,54825,University of Chicago,3,private
32,1420,5472,6,96,50,18385,51400,Yale University,3,private
32,1430,6113,6,95,48,21041,57208,Columbia University,5,private
33,1460,4524,8,95,58,20331,49892,Massachusetts Institute of Technology,5,private
31,1380,7034,5,95,47,19296,49617,Stanford University,5,private
32,1380,10019,9,93,47,25441,53534,University of Pennsylvania,8,private
31,1380,6609,11,92,41,23374,53744,Duke University,9,private
34,1510,979,8,91,51,23973,49908,California Institute of Technology,10,private
30,1350,4310,11,90,50,23312,52950,Dartmouth College,11,private
32,1420,6117,12,90,45,30067,52170,Johns Hopkins University,11,private
32,1400,8353,11,90,43,31087,52678,Northwestern University,11,private
31,1370,6926,9,86,41,24482,53419,Brown University,14,private
31,1330,14566,14,86,44,28068,52853,Cornell University,14,private
32,1410,3893,15,86,37,23996,45608,Rice University,14,private
32,1420,6871,11,86,46,23323,47664,Vanderbilt University,14,private
32,1350,8530,19,85,47,29653,51505,University of Notre Dame,18,private
32,1400,7540,17,85,41,29245,51533,Washington University in St. Louis,18,private
30,1320,7453,17,80,34,29667,52300,Georgetown University,20,private
30,1290,6861,25,78,42,24264,49392,Emory University,21,private
29,1300,29311,16,78,23,49614,42112,University of California--Berkeley,21,public
25,1160,30873,18,78,15,42896,41270,University of California--Los Angeles,21,public
30,1280,18794,17,78,33,33112,54259,University of Southern California,21,private
31,1380,6673,22,76,40,33550,53910,Carnegie Mellon University,25,private
29,1240,16331,30,76,28,28079,46975,University of Virginia,25,public
28,1240,4955,30,75,30,24241,51400,Wake Forest University,27,private
29,1310,28983,29,74,25,32856,47476,University of Michigan--Ann Arbor,28,public
31,1370,5508,14,72,34,27034,54318,Tufts University,29,private
29,1250,26135,32,71,46,41783,50464,New York University,30,private
27,1190,18523,27,71,41,17815,34588,University of North Carolina--Chapel Hill,30,public
30,1260,9309,31,70,35,30170,53346,Boston College,32,private
28,1250,6276,37,70,21,42153,43099,College of William and Mary,32,public
29,1270,3608,33,68,47,29288,53582,Brandeis University,34,private
30,1320,15489,26,68,15,39518,33014,Georgia Institute of Technology,34,public
29,1250,6386,38,68,51,28476,52020,University of Rochester,34,private
28,1220,17944,29,67,36,34539,52082,Boston University,37,private
30,1280,5152,35,67,48,35248,47500,Case Western Reserve University,37,private
25,1140,21574,36,67,8,44849,42423,University of California--Santa Barbara,37,public
31,1330,13473,29,66,34,38521,49497,Northeastern University,40,private
29,1250,6377,26,66,31,35111,52960,Tulane University,40,private
28,1280,6265,44,65,61,35125,52305,Rensselaer Polytechnic Institute,42,private
,1060,27331,41,65,6,43506,43530,University of California--Irvine,42,public
25,1140,28127,36,65,7,42933,44197,University of California--San Diego,42,public
27,1180,34554,46,65,20,36825,28658,University of Florida,42,public
29,1230,5080,26,64,38,25376,50740,Lehigh University,46,private
26,1110,3542,37,64,51,32416,51992,Pepperdine University,46,private
24,1050,29546,42,64,9,44075,42396,University of California--Davis,46,public
28,1210,10849,38,64,33,34479,48484,University of Miami,46,private
27,1234,31710,53,64,16,36113,34782,University of Wisconsin--Madison,46,public
30,1220,6999,44,64,44,35459,51434,Villanova University,46,private
25,1090,41359,56,63,14,41789,33664,Pennsylvania State University--University Park,52,public
26,1280,33932,60,63,9,35977,31988,University of Illinois--Urbana-Champaign,52,public
27,1160,45831,54,62,9,37032,29659,Ohio State University--Columbus,54,public
26,1140,27951,54,62,13,30943,30392,University of Georgia,54,public
27,1180,11504,40,61,43,37996,53518,George Washington University,56,private
25,1080,30043,56,61,16,28383,28804,Purdue University--West Lafayette,56,public
26,1130,19324,49,61,33,37427,36948,University of Connecticut,56,public
26,1140,40168,40,61,7,40558,35766,University of Texas--Austin,56,public
26,1120,30933,45,61,20,47746,35538,University of Washington,56,public
27,1160,30979,51,60,38,13186,5460,Brigham Young University--Provo,61,private
27,1170,9258,45,60,,,50601,Fordham University,61,private
28,1220,6521,49,60,24,47874,52498,Southern Methodist University,61,private
25,1090,15218,52,60,48,33912,46755,Syracuse University,61,private
28,1210,28472,48,60,20,36786,33606,University of Maryland--College Park,61,public
28,1200,4432,48,60,62,39995,48628,Worcester Polytechnic Institute,61,private
26,1150,18599,51,59,7,38923,35654,Clemson University,67,public
27,1190,19123,55,58,,,30642,University of Pittsburgh,68,public
26,1150,7901,26,57,46,36076,46615,American University,69,private
,1110,36168,57,57,13,40121,30023,Rutgers University--New Brunswick,69,public
29,1260,3021,39,57,40,51810,50554,Stevens Institute of Technology,69,private
24,1070,50735,66,57,41,26376,30208,Texas A&M University--College Station,69,public
26,1180,34871,44,57,23,28170,26603,University of Minnesota--Twin Cities,69,public
,1100,25791,71,57,,,29371,Virginia Tech,69,public
26,1120,14348,40,56,53,36761,43790,Baylor University,75,private
29,1250,4612,40,56,21,47042,37436,Colorado School of Mines,75,public
25,1130,23373,60,56,35,35445,33662,University of Massachusetts--Amherst,75,public
26,1130,16981,65,55,10,42507,32768,Miami University--Oxford,78,public
25,1070,8891,38,55,35,33953,44760,Texas Christian University,78,private
23,1020,24476,84,55,34,32794,28813,University of Iowa,78,public
27,1110,2289,55,54,62,27702,44400,Clark University,81,private
25,1110,32929,58,54,27,34036,21673,Florida State University,81,public
24,990,39090,66,54,5,47279,39405,Michigan State University,81,public
27,1170,23847,46,54,41,25623,27406,North Carolina State University--Raleigh,81,public
23,1060,16962,59,54,18,47616,42042,University of California--Santa Cruz,81,public
23,1090,18374,65,54,,,32250,University of Delaware,81,public
28,1230,13632,41,53,54,29356,24403,Binghamton University--SUNY,87,public
26,1110,5754,53,53,40,31393,48669,University of Denver,87,private
26,1120,3406,37,53,15,49957,39502,University of Tulsa,87,private
24,1060,39184,79,52,16,37563,34845,Indiana University--Bloomington,90,public
24,1040,8238,74,52,55,32894,39900,Marquette University,90,private
25,1070,27846,77,52,12,41125,35079,University of Colorado--Boulder,90,public
26,1100,5711,51,52,48,36861,47708,University of San Diego,90,private
25,1080,13251,75,51,54,42176,52002,Drexel University,94,private
24,1120,7454,65,51,51,28328,42166,Saint Louis University,94,private
23,1090,2714,51,51,46,34756,42000,Yeshiva University,94,private
26,1140,12410,55,50,70,31793,40068,Rochester Institute of Technology,97,private
26,1150,17026,41,50,13,34024,26297,Stony Brook University--SUNY,97,public
23,1070,1755,54,50,,,18090,SUNY College of Environmental Science and Forestry,97,public
24,1070,20411,59,50,28,37040,26270,University at Buffalo--SUNY,97,public
23,1060,22436,71,50,13,35144,24443,University of Oklahoma,97,public
25,1100,11159,69,50,48,36399,41356,University of Vermont,97,public
